,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
3820,867700,The Wilting Amaranth,Reine Works,Top Hat Curios &amp; Oddities,,58,12,0,"0 .. 20,000",0,0,0,0,499,499,0,0
3821,378580,Untamed: Life Of A Cougar,OCCA Studios,Strategy First,,80,52,0,"0 .. 20,000",0,0,0,0,799,799,0,0
3822,949800,Skyland: Heart of the Mountain,Cordelia Games,Artifex Mundi,,115,29,0,"0 .. 20,000",0,0,0,0,1499,1499,0,3
3823,2589290,American Isekai: Legends of Nipponia,GMVStudios,MerleTesterLLC,,3,0,0,"0 .. 20,000",0,0,0,0,999,999,0,0
3824,668670,Glasswinged Ascension,Sergey Kalmanovich (aka Red Spot Sylphina),Conglomerate 5,,9,17,0,"0 .. 20,000",0,0,0,0,49,99,51,0
3825,1139490,Summer Daze: Tilly's Tale,Transolar Games,Transolar Games,,11,8,0,"0 .. 20,000",0,0,0,0,1999,1999,0,4
3826,1629210,Tales Of Aravorn: An Elven Marriage,Winter Wolves,Winter Wolves,,15,1,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
3827,1472060,Apollyon: River of Life,theplanardanse,theplanardanse,,20,1,0,"0 .. 20,000",0,0,0,0,1499,1499,0,1
3828,2514470,My Mundane Life Is Threatened by the Tropes of an RPG!!!,AsleepOnStream,Larsonsoft,,21,5,0,"0 .. 20,000",0,0,0,0,499,499,0,1
3829,288670,Myths Of Orion: Light From The North,Cateia Games,Cateia Games,,36,7,0,"0 .. 20,000",0,0,0,0,1499,1499,0,1
3830,318740,Disney The Princess and the Frog,Griptonite Games,Disney,,37,15,0,"0 .. 20,000",0,0,0,0,1999,1999,0,1
3831,308520,Minimon,Lunar Labs,Lunar Labs,,38,45,0,"0 .. 20,000",0,0,0,0,0,0,0,0
3832,417980,Planet Diver,Fabraz,Fabraz,,45,11,0,"0 .. 20,000",0,0,0,0,399,399,0,0
3833,2478020,Ray’z Arcade Chronology,"M2 Co.,LTD",TAITO CORP.,,47,7,0,"0 .. 20,000",0,0,0,0,4999,4999,0,1
3834,967120,Cursed Mansion,Dragon Emperors,Nuon Games,,48,4,0,"0 .. 20,000",0,0,0,0,666,666,0,0
3835,2517870,Experimentation,Faithy Games,Faithy Games,,59,16,0,"0 .. 20,000",0,0,0,0,299,299,0,0
3836,702210,Princess Serena ~Raid of Demon Legion~,Dieselmine,Dieselmine,,99,40,0,"0 .. 20,000",0,0,0,0,199,199,0,0
3837,2143050,Red Line,Rolling Cat Studio,indienova,,109,2,0,"0 .. 20,000",0,0,0,0,999,999,0,1
3838,373650,The Assembly,nDreams,nDreams,,114,46,0,"0 .. 20,000",0,0,0,0,2999,2999,0,0
3839,2602730,YUME 4,Lovely Games,Lovely Games,,125,32,0,"0 .. 20,000",0,0,0,0,349,499,30,6
3840,646470,Alicia Quatermain: Secrets Of The Lost Treasures,"Jetdogs Studios, Whalebox",Jetdogs Studios,,126,17,0,"0 .. 20,000",0,0,0,0,299,299,0,1
